,postcode,X-koordinaatti metrein�,Y-koordinaatti metrein�,Postinumeroalueen pinta-ala,"Asukkaat yhteens�, 2017 (HE)"
167,02490,352033,6665079,7888455,295
168,02510,361149,6677457,16213518,477
169,02520,358165,6678371,17733356,799
170,02540,355132,6680935,16071748,638
171,02550,352845,6676368,34440037,850
172,02570,346712,6678080,91135959,1291
173,02580,346515,6669177,84099930,3436
174,02590,339800,6674965,15359940,251
175,02600,378937,6677010,4183811,11052
176,02610,376673,6678055,2926723,6354
177,02620,376746,6679587,4031134,8428
178,02630,376183,6676814,2712530,3435
179,02650,379072,6678436,2585315,10595
180,02660,378671,6679883,3357279,6156
181,02680,379778,6680201,1321122,2719
182,02700,373460,6677519,5514312,9480
183,02710,374871,6678998,2651282,6019
184,02720,374833,6680409,1655678,2998
185,02730,376171,6681468,3380257,4581
186,02740,370034,6683154,29833236,3180
187,02750,373794,6675689,5792011,6283
188,02760,371464,6675883,4099624,14443
189,02770,369534,6676424,8422398,10436
190,02780,365686,6675944,27860327,10716
191,02810,368388,6678668,4373806,1792
192,02820,364887,6684609,63250909,1457
193,02860,362711,6685121,15725519,654
194,02880,357922,6684400,40142208,5833
195,02920,374922,6684335,12923102,5347
196,02940,372584,6682909,22712608,10335
197,02970,374018,6689419,27631400,3823
198,02980,368858,6690939,31057524,318
199,03100,350466,6692040,78159695,15394
200,03150,353557,6686917,23861486,766
201,03220,358423,6690660,28318550,579
202,03250,357056,6695869,35873701,1930
203,03300,363181,6696861,77100011,2377
204,03320,365028,6702082,20068682,349
205,03400,354038,6703790,166221787,6474
206,03430,345126,6702220,45564394,519
207,03600,343101,6719178,168480438,6524
208,03620,352739,6715426,59954330,2127
209,03710,356338,6712608,49229428,186
210,03790,363975,6712748,67218338,514
211,03810,341156,6708625,46090266,595
212,03850,334478,6713811,197571333,1641
213,03870,330631,6707420,17043082,188
214,04130,404507,6692740,111819888,7295
215,04150,402155,6696577,12584512,644
216,04170,402990,6703041,50709197,1266
217,04200,396081,6698986,7796822,11413
218,04220,397922,6697671,6796192,5165
219,04230,395119,6699882,3862102,7711
220,04240,399602,6699211,19182866,1230
221,04250,396712,6695398,8694533,4654
222,04260,394610,6695293,6167624,6406
223,04300,390210,6700321,32639870,10259
224,04310,392833,6699778,7525292,2558
225,04320,390715,6694583,6476510,4984
226,04330,388355,6696424,5097480,2347
227,04340,393462,6697506,3779745,2212
228,04350,384971,6697695,18403908,519
229,04360,387874,6693033,26391787,1235
230,04370,387052,6701706,16964196,766
231,04380,392380,6704400,17016960,587
232,04390,389101,6707709,14343572,469
233,04400,393896,6704844,9973207,10155
234,04410,395642,6707621,6330516,11079
235,04420,395877,6703435,3646558,3970
236,04430,397788,6704647,19467815,9044
237,04440,393367,6708891,7588907,4501
238,04460,394866,6709851,3430979,1965
239,04480,399859,6710423,22071608,2445
240,04500,396029,6713103,33033624,5980
241,04530,397236,6718826,49606151,920
242,04600,409360,6724291,35784851,9339
243,04620,406327,6725925,18368977,2075
244,04630,413827,6719353,65573374,866
245,04660,406588,6716158,76183414,1680
246,04680,401044,6723028,45618798,669
247,04740,402764,6730984,102464955,1174
