"Postinumeroalue";"X-koordinaatti metrein�";"Y-koordinaatti metrein�";"Postinumeroalueen pinta-ala";"Asukkaat yhteens�, 2017 (HE)"
"01200 Hakunila   (Vantaa )";397350;6683971;19485593;11967
"01230 Vaarala   (Vantaa )";395072;6682179;3365938;2981
"01260 It�-Hakkila   (Vantaa )";396290;6686463;8390811;4839
"01280 L�nsim�ki   (Vantaa )";395334;6680590;3500238;9620
"01300 Tikkurila   (Vantaa )";390823;6685892;6007207;19509
"01340 Leinel�   (Vantaa )";391763;6689187;150157;1141
"01350 Hiekkaharju   (Vantaa )";391484;6687582;2811048;10255
"01360 Koivukyl�-Havukoski   (Vantaa )";393284;6688247;5844793;12578
"01370 Jokiniemi   (Vantaa )";393051;6686344;3261820;6562
"01380 Kuusikko-Hakkila   (Vantaa )";393820;6685263;4424793;1907
"01390 Ruskeasanta-Ilola   (Vantaa )";390299;6689205;7098930;9046
"01400 Rekola   (Vantaa )";393529;6690076;5626751;8595
"01420 P�iv�kumpu   (Vantaa )";395669;6688940;3908448;3225
"01450 Korso   (Vantaa )";393421;6692769;14409178;18228
"01480 Mikkola   (Vantaa )";395593;6691405;3036738;6386
"01490 Nikinm�ki   (Sipoo )";397368;6690441;9835277;4233
"01510 Kirkonkyl�-Verom�ki   (Vantaa )";387689;6685467;7660748;6359
"01520 Tammisto   (Vantaa )";387303;6683862;2019024;7835
"01530 Veromiehenkyl�   (Vantaa )";386786;6688413;17197512;418
"01600 Myyrm�ki   (Vantaa )";381052;6682779;2774549;17170
"01610 Kaivoksela   (Vantaa )";382490;6682860;2775026;5150
"01620 Martinlaakso   (Vantaa )";381071;6684544;3185037;12106
"01630 H�meenkyl�   (Vantaa )";377586;6683215;2645689;2055
"01640 H�mevaara   (Vantaa )";378158;6681499;3107721;3395
"01650 Vapaala   (Vantaa )";379763;6682603;2132777;4124
"01660 Varisto   (Vantaa )";379264;6683483;1007947;2306
"01670 Vantaanlaakso   (Vantaa )";382418;6684868;2287549;2813
"01680 Askisto   (Vantaa )";377611;6685667;6601075;2087
"01690 Yl�st�   (Vantaa )";384848;6684329;6045929;4787
"01700 Kivist�   (Vantaa )";380717;6689222;4932635;6944
"01710 P�hkin�rinne   (Vantaa )";378254;6682313;1234759;5071
"01720 Petikko   (Vantaa )";379273;6685012;4257140;65
"01730 Vantaanpuisto   (Vantaa )";381437;6688026;14286508;2586
"01740 Tuupakan teollisuusalue   (Vantaa )";383722;6686433;8136713;199
"01750 Keimola   (Vantaa )";378253;6691155;22469229;868
"01760 Seutula   (Vantaa )";382554;6693625;33787413;2096
"01770 Martinlaakson teollisuusalue   (Vantaa )";381401;6685427;188347;0
"01800 Klaukkala Keskus   (Nurmij�rvi )";375244;6696312;21758477;8238
"01810 Luhtajoki   (Nurmij�rvi )";378913;6698788;13559902;701
"01820 Haikala   (Nurmij�rvi )";376736;6698704;5611174;3372
"01830 Leps�m�   (Nurmij�rvi )";369990;6697585;34731725;2627
"01840 Klaukkala   (Nurmij�rvi )";375853;6693501;8713286;4080
"01860 Perttula   (Nurmij�rvi )";372013;6702942;58876393;2075
"01900 Nurmij�rvi Keskus   (Nurmij�rvi )";380725;6705915;77744851;8975
"01940 Palojoki   (Nurmij�rvi )";382187;6700602;19552693;760
"02100 Tapiola   (Espoo )";378116;6673118;1907447;5025
"02110 Otsolahti   (Espoo )";378945;6673216;878222;2790
"02120 L�nsikorkee-Suvikumpu   (Espoo )";377423;6672789;712858;2810
"02130 Pohjois-Tapiola   (Espoo )";377678;6674541;2644954;6286
"02140 Laajalahti   (Espoo )";378198;6675934;2669594;3786
"02150 Otaniemi   (Espoo )";379514;6673848;2003315;3720
"02160 Westend   (Espoo )";377713;6671741;2067000;3181
"02170 Haukilahti   (Espoo )";376443;6671527;1942277;5649
"02180 Mankkaa   (Espoo )";376189;6675180;3425133;6838
"02200 Niittykumpu   (Espoo )";375848;6673043;4513457;8465
"02210 Olari   (Espoo )";373735;6673196;3560883;11238
"02230 Matinkyl�   (Espoo )";374707;6670858;5967507;21594
"02240 Friisil�   (Espoo )";373313;6672238;1401091;2301
"02250 Henttaa   (Espoo )";374201;6674477;2152411;4025
"02260 Kaitaa   (Espoo )";371977;6669979;2361154;3729
"02270 Finnoo-Eestinmalmi   (Espoo )";372508;6671268;3437199;2217
"02280 Malminm�ki-Eestinlaakso   (Espoo )";371671;6673389;3426103;4455
"02290 Puolarmets�n sairaala   (Espoo )";372633;6673273;166266;6
"02300 N�ykki�npuro   (Espoo )";370747;6671406;1730780;2585
"02320 Espoonlahti   (Espoo )";369251;6670371;3071666;16246
"02330 Saunalahti-Kattilalaakso   (Espoo )";368933;6672208;5896237;9551
"02340 Latokaski   (Espoo )";369959;6673757;3258395;4971
"02360 Soukka   (Espoo )";370800;6668851;4902586;9773
"02380 Suvisaaristo   (Espoo )";372859;6666371;8990600;673
"02390 Sarvvik   (Kirkkonummi )";366272;6668957;12005670;502
"02400 Kirkkonummi Keskus   (Kirkkonummi )";355793;6670547;71190787;12420
"02410 Gesterby   (Kirkkonummi )";358327;6669359;916658;2051
"02420 Jorvas   (Kirkkonummi )";363985;6665941;49028555;1792
"02430 Masala   (Kirkkonummi )";362093;6672098;9947574;4403
"02440 Luoma   (Kirkkonummi )";362731;6674182;8435586;604
"02450 Sundsberg   (Kirkkonummi )";364834;6670982;4292942;1972
"02460 Kantvik   (Kirkkonummi )";354841;6664663;4388139;1713
"02470 Upinniemi   (Kirkkonummi )";353823;6658546;7830571;297
"02480 Porkkala   (Kirkkonummi )";355761;6652446;112373251;4554
"02490 Pikkala   (Siuntio )";352033;6665079;7888455;295
"02510 Oitm�ki   (Kirkkonummi )";361149;6677457;16213518;477
"02520 Lapinkyl�   (Kirkkonummi )";358165;6678371;17733356;799
"02540 Kylm�l�   (Kirkkonummi )";355132;6680935;16071748;638
"02550 Evitskog   (Kirkkonummi )";352845;6676368;34440037;850
"02570 Siuntio Kirkonkyl�   (Siuntio )";346712;6678080;91135959;1291
"02580 Siuntio Asemanseutu   (Siuntio )";346515;6669177;84099930;3436
"02590 Lappers   (Siuntio )";339800;6674965;15359940;251
